exp_id,household_id,food_expense,education_expense,health_expense,transport_expense
EXP000097,HH000097,8120,4852,2476,1281
EXP000098,HH000098,13820,7612,322,1227
EXP000099,HH000099,13472,7283,2655,5384
EXP000100,HH000100,6106,7896,501,6525
EXP000101,HH000101,13468,3485,4935,2330
EXP000102,HH000102,14771,2484,43,697
EXP000103,HH000103,6410,3786,1180,6577
EXP000104,HH000104,2393,4182,2840,2795
EXP000105,HH000105,11177,5109,2967,1927
EXP000106,HH000106,5460,2078,4115,1388
EXP000107,HH000107,4929,682,103,4917
EXP000108,HH000108,7887,7980,313,6531
EXP000109,HH000109,14695,7228,3093,672
EXP000110,HH000110,12495,6587,4501,827
EXP000111,HH000111,9062,2633,2969,3854
EXP000112,HH000112,2129,6234,1162,5696
EXP000113,HH000113,8917,4289,3388,3951
EXP000114,HH000114,13694,3647,4040,2749
EXP000115,HH000115,8553,7812,4947,3648
EXP000116,HH000116,5658,1011,3826,652
EXP000117,HH000117,7772,3363,4045,4626
EXP000118,HH000118,5549,3546,1868,4071
EXP000119,HH000119,7673,4903,4102,5280
EXP000120,HH000120,13780,6629,1138,5140
EXP000121,HH000121,13902,17,2341,5797
EXP000122,HH000122,9626,841,2753,1568
EXP000123,HH000123,8192,2392,1489,5601
EXP000124,HH000124,14472,2277,3073,4679
EXP000125,HH000125,13912,5525,4429,2050
EXP000126,HH000126,14574,2720,3789,1352
EXP000127,HH000127,4209,3425,2538,4752
EXP000128,HH000128,10936,32,1180,6841
EXP000129,HH000129,7054,1239,1531,6998
EXP000130,HH000130,13084,1221,1135,1253
EXP000131,HH000131,14290,7481,4882,2047
EXP000132,HH000132,8319,5201,2464,5310
EXP000133,HH000133,12010,77,3632,5120
EXP000134,HH000134,11452,7673,899,2983
EXP000135,HH000135,9631,1385,1995,1021
EXP000136,HH000136,2376,6817,3903,4790
EXP000137,HH000137,4724,4047,1,3169
EXP000138,HH000138,12423,7821,1013,6653
EXP000139,HH000139,10133,4164,3111,1759
EXP000140,HH000140,9098,7858,309,4546
EXP000141,HH000141,7525,7846,3197,5702
EXP000142,HH000142,12273,1351,1352,2340
EXP000143,HH000143,4293,3793,2038,6563
EXP000144,HH000144,7673,6614,1644,5194
EXP000145,HH000145,12716,6675,4956,6431
EXP000146,HH000146,2666,291,508,3600
EXP000147,HH000147,10580,6950,3486,3467
EXP000148,HH000148,8821,1690,1030,4810
EXP000149,HH000149,10127,1742,1901,3741
EXP000150,HH000150,10466,7573,4136,3292
EXP000151,HH000151,5497,1427,2191,4677
EXP000152,HH000152,3984,7713,1866,5506
EXP000153,HH000153,12698,6962,3126,1824
EXP000154,HH000154,9187,5169,1596,2786
EXP000155,HH000155,13182,7549,3029,1180
EXP000156,HH000156,10654,1869,637,5376
EXP000157,HH000157,11695,1628,1480,4492
EXP000158,HH000158,4989,2825,2594,4511
EXP000159,HH000159,5845,1247,803,6755
EXP000160,HH000160,2251,1067,1811,1905
EXP000161,HH000161,5850,4011,1524,3015
EXP000162,HH000162,3213,418,4752,721
EXP000163,HH000163,14901,4289,2733,1423
EXP000164,HH000164,9597,6463,3613,777
EXP000165,HH000165,9729,5236,1348,6855
EXP000166,HH000166,4796,981,1431,1899
EXP000167,HH000167,11102,6763,1058,4085
EXP000168,HH000168,12874,2016,2486,5521
EXP000169,HH000169,4726,4425,1575,2501
EXP000170,HH000170,4286,2431,1168,721
EXP000171,HH000171,3637,280,4424,3343
EXP000172,HH000172,12839,34,907,5976
EXP000173,HH000173,9833,4350,2741,2840
EXP000174,HH000174,4742,318,4612,3983
EXP000175,HH000175,11509,3509,3666,3720
EXP000176,HH000176,5582,4281,480,5200
EXP000177,HH000177,12158,4713,3165,6560
EXP000178,HH000178,13720,4589,130,1834
EXP000179,HH000179,13421,2416,4421,4531
EXP000180,HH000180,13914,4590,1349,4023
EXP000181,HH000181,14936,954,1404,3724
EXP000182,HH000182,7483,2997,4778,6071
EXP000183,HH000183,3400,175,4763,4116
EXP000184,HH000184,8901,1486,1742,3740
EXP000185,HH000185,13980,6170,2569,3196
EXP000186,HH000186,13915,3945,2571,3629
EXP000187,HH000187,2274,6991,3664,578
EXP000188,HH000188,11272,2031,1919,2270
EXP000189,HH000189,12705,284,631,4894
EXP000190,HH000190,12246,5411,2274,1091
EXP000191,HH000191,3062,123,4072,5481
EXP000192,HH000192,3987,1061,942,1427
EXP000193,HH000193,3657,353,1129,5615
EXP000194,HH000194,8033,5409,3398,1463
EXP000195,HH000195,14132,3173,450,3935
EXP000196,HH000196,6697,2943,2517,1408
EXP000197,HH000197,13567,6547,4500,4575
EXP000198,HH000198,8332,3652,1114,5635
EXP000199,HH000199,5544,5596,948,4986
EXP000200,HH000200,2265,2934,936,3169
EXP000201,HH000201,9604,6231,4126,6298
EXP000202,HH000202,13200,4644,3279,4373
EXP000203,HH000203,10212,1975,2121,2670
EXP000204,HH000204,9526,7291,274,5201
EXP000205,HH000205,5617,7362,801,2751
EXP000206,HH000206,11245,5808,921,621
EXP000207,HH000207,7528,2967,2630,4835
EXP000208,HH000208,14391,6756,4909,2462
EXP000209,HH000209,5900,6850,3154,806
EXP000210,HH000210,5610,1090,6,5756
EXP000211,HH000211,6897,5516,3954,1471
EXP000212,HH000212,13248,2705,4307,4948
EXP000213,HH000213,5805,4558,3158,2005
EXP000214,HH000214,13156,2227,1862,2614
EXP000215,HH000215,4434,5214,3283,4608
EXP000216,HH000216,8288,2521,3147,5280
EXP000217,HH000217,10799,1375,3539,3461
EXP000218,HH000218,2389,6074,2689,2525
EXP000219,HH000219,13261,805,16,1536
EXP000220,HH000220,2981,388,4710,3852
EXP000221,HH000221,5645,6306,1940,5858
EXP000222,HH000222,13226,5703,1022,998
EXP000223,HH000223,4601,7199,4618,5773
EXP000224,HH000224,11835,6266,4554,6134
EXP000225,HH000225,4536,3582,4924,4039
EXP000226,HH000226,14634,7636,2117,1471
EXP000227,HH000227,6947,38,3661,3094
EXP000228,HH000228,10983,4285,1834,4894
EXP000229,HH000229,2455,7846,3730,3792
EXP000230,HH000230,8280,6958,2255,6973
EXP000231,HH000231,4913,5689,161,6400
EXP000232,HH000232,6253,3993,1059,6897
EXP000233,HH000233,5894,7177,195,3842
EXP000234,HH000234,4755,15,4615,1194
EXP000235,HH000235,8083,4685,4526,2886
EXP000236,HH000236,2364,307,4866,4346
EXP000237,HH000237,5185,225,4495,2153
EXP000238,HH000238,7462,5886,4278,1355
EXP000239,HH000239,11409,2448,3274,6035
EXP000240,HH000240,11162,5714,2187,3010
EXP000241,HH000241,9615,3205,1308,2550
EXP000242,HH000242,3717,1811,3961,6863
EXP000243,HH000243,2422,7150,3502,3415
EXP000244,HH000244,10645,6792,4260,1174
EXP000245,HH000245,3497,2283,4357,3181
EXP000246,HH000246,10004,5470,4953,2548
EXP000247,HH000247,9661,4500,4026,2632
EXP000248,HH000248,12651,5650,4394,2190
EXP000249,HH000249,8473,7570,4796,5942
EXP000250,HH000250,6038,1081,3114,5813
EXP000251,HH000251,2077,6026,3569,4726
EXP000252,HH000252,4173,7112,1010,1034
EXP000253,HH000253,12280,6865,3793,2525
EXP000254,HH000254,13011,710,186,2086
EXP000255,HH000255,4355,6812,4301,5538
EXP000256,HH000256,2892,862,1412,2141
EXP000257,HH000257,12921,7977,1230,917
EXP000258,HH000258,6523,5419,2133,6349
EXP000259,HH000259,6548,3778,58,3226
EXP000260,HH000260,14660,1842,4931,6535
EXP000261,HH000261,12946,5132,2716,1424
EXP000262,HH000262,10833,7774,3620,3246
EXP000263,HH000263,4903,1146,4950,2157
EXP000264,HH000264,5280,1787,3298,5114
EXP000265,HH000265,10666,75,1903,5606
EXP000266,HH000266,2653,4347,4765,2378
EXP000267,HH000267,11221,6882,2928,5653
EXP000268,HH000268,14556,6694,2173,6266
EXP000269,HH000269,8515,6134,981,1325
EXP000270,HH000270,9291,50,493,3682
EXP000271,HH000271,2041,1335,2202,2177
EXP000272,HH000272,6459,5213,3134,4433
EXP000273,HH000273,5951,7019,4137,5261
EXP000274,HH000274,5608,5729,2329,3819
EXP000275,HH000275,14281,4272,2126,2674
EXP000276,HH000276,10410,7874,3568,2383
EXP000277,HH000277,7316,6693,121,3784
EXP000278,HH000278,12007,3460,4074,5784
EXP000279,HH000279,9412,2851,2911,5430
EXP000280,HH000280,8820,7583,1748,5608
EXP000281,HH000281,10231,392,735,2774
EXP000282,HH000282,12515,7514,4432,4120
EXP000283,HH000283,2280,5074,3748,6623
EXP000284,HH000284,8846,7633,1606,818
EXP000285,HH000285,12086,5810,546,1143
EXP000286,HH000286,9043,4120,1482,5105
EXP000287,HH000287,3351,6358,3526,4325
EXP000288,HH000288,13090,4575,3385,1998
EXP000289,HH000289,3544,7153,571,3415
EXP000290,HH000290,9672,1666,3281,580
EXP000291,HH000291,5185,6313,1036,1452
EXP000292,HH000292,14302,6700,3842,4926
EXP000293,HH000293,6125,3073,3259,3688
EXP000294,HH000294,9950,2828,2945,3397
EXP000295,HH000295,7996,6430,4994,5894
EXP000296,HH000296,12072,1128,1593,1153
EXP000297,HH000297,3584,3548,2795,2143
EXP000298,HH000298,7607,7264,3143,6515
EXP000299,HH000299,10749,7916,1207,3191
EXP000300,HH000300,14276,4828,866,5703
EXP000301,HH000301,13063,4695,3523,2099
EXP000302,HH000302,10743,524,4923,531
EXP000303,HH000303,6595,3359,3330,1834
EXP000304,HH000304,6664,3645,572,1850
EXP000305,HH000305,12993,3287,2717,3200
EXP000306,HH000306,14813,5532,2217,1618
EXP000307,HH000307,5917,2577,2591,1163
EXP000308,HH000308,4602,5672,4216,5698
EXP000309,HH000309,13832,5719,3912,5219
EXP000310,HH000310,7846,7310,3686,4429
EXP000311,HH000311,5376,181,2953,5378
EXP000312,HH000312,8752,3439,2614,1504
EXP000313,HH000313,9721,6129,796,3502
EXP000314,HH000314,14648,1358,2608,2675
EXP000315,HH000315,7726,4004,3669,2194
EXP000316,HH000316,5316,1097,2029,966
EXP000317,HH000317,8112,5523,2083,2576
EXP000318,HH000318,2172,5323,3907,3977
EXP000319,HH000319,4903,1335,12,3525
EXP000320,HH000320,5907,6403,777,5207
EXP000321,HH000321,9166,5061,4547,5678
EXP000322,HH000322,3652,349,3166,2976
EXP000323,HH000323,13761,6863,302,4925
EXP000324,HH000324,10308,4082,2707,4000
EXP000325,HH000325,4568,3461,3441,2772
EXP000326,HH000326,5488,7844,3979,5088
EXP000327,HH000327,7546,6598,1289,6238
EXP000328,HH000328,3401,7667,634,3395
EXP000329,HH000329,7484,4057,1451,5811
EXP000330,HH000330,14729,5815,3970,1729
EXP000331,HH000331,13797,6483,3742,4958
EXP000332,HH000332,14082,3762,1055,2118
EXP000333,HH000333,6144,3750,4948,2382
EXP000334,HH000334,5345,3146,2482,4252
EXP000335,HH000335,4440,7723,2956,2470
EXP000336,HH000336,4766,3765,3983,4594
EXP000337,HH000337,2988,786,4306,1469
EXP000338,HH000338,12856,3069,3149,3595
EXP000339,HH000339,11775,1211,2985,2534
EXP000340,HH000340,13926,3350,1971,6476
EXP000341,HH000341,8087,6534,281,2669
EXP000342,HH000342,3271,6429,1998,3496
EXP000343,HH000343,7224,3509,3234,3812
EXP000344,HH000344,14006,2737,4996,5667
EXP000345,HH000345,7595,5357,1163,4863
EXP000346,HH000346,11434,2504,702,1818
EXP000347,HH000347,8171,5573,2172,4950
EXP000348,HH000348,3807,3876,1794,1366
EXP000349,HH000349,12056,5402,1693,4693
EXP000350,HH000350,3362,248,3330,1972
EXP000351,HH000351,3387,3139,3349,2782
EXP000352,HH000352,10553,7818,297,2157
EXP000353,HH000353,8118,4294,1304,6521
EXP000354,HH000354,13368,3504,651,3060
EXP000355,HH000355,4349,327,3386,5175
EXP000356,HH000356,7054,7714,505,4991
EXP000357,HH000357,5067,5930,2476,3120
EXP000358,HH000358,10256,4768,4153,1404
EXP000359,HH000359,3084,5675,3229,5514
EXP000360,HH000360,11603,353,1802,6217
EXP000361,HH000361,9594,5641,828,2864
EXP000362,HH000362,6795,4521,4044,4730
EXP000363,HH000363,4421,6783,2964,6864
EXP000364,HH000364,5751,7714,699,798
EXP000365,HH000365,2053,5778,935,2765
EXP000366,HH000366,3062,7923,4046,852
EXP000367,HH000367,9471,6908,2953,1892
EXP000368,HH000368,12411,970,435,1373
EXP000369,HH000369,13052,864,971,4144
EXP000370,HH000370,6800,3074,4481,5360
EXP000371,HH000371,9202,5476,2651,1968
EXP000372,HH000372,6049,1624,206,1221
EXP000373,HH000373,7958,2566,476,3049
EXP000374,HH000374,14610,892,1891,6922
EXP000375,HH000375,12064,2617,3454,4420
EXP000376,HH000376,14989,4157,2249,5292
EXP000377,HH000377,12937,782,4697,1029
EXP000378,HH000378,10470,2515,2043,2381
EXP000379,HH000379,8216,7075,1964,6545
EXP000380,HH000380,4055,3076,2965,4237
EXP000381,HH000381,12107,7286,777,1353
EXP000382,HH000382,2770,3850,513,5939
EXP000383,HH000383,10101,6117,594,4060
EXP000384,HH000384,14397,4775,3714,1252
EXP000385,HH000385,12451,1459,1374,6219
EXP000386,HH000386,11915,5208,961,4826
EXP000387,HH000387,3906,964,4528,5482
EXP000388,HH000388,4273,2828,3510,2652
EXP000389,HH000389,8611,5828,2875,6865
EXP000390,HH000390,4057,4497,4842,4775
EXP000391,HH000391,7070,2516,4518,6153
EXP000392,HH000392,14996,3151,1366,2771
EXP000393,HH000393,14739,6656,1810,3836
EXP000394,HH000394,13565,170,1503,5672
EXP000395,HH000395,5344,3598,4725,6164
EXP000396,HH000396,2184,6099,1429,3983
EXP000397,HH000397,14557,5398,563,2844
EXP000398,HH000398,14348,618,2158,2767
EXP000399,HH000399,4611,5376,4489,6613
EXP000400,HH000400,13275,1374,2288,4991
EXP000401,HH000401,5005,7824,1827,2961
EXP000402,HH000402,8652,775,4026,4525
EXP000403,HH000403,4202,5841,3519,513
EXP000404,HH000404,11335,1670,4972,4029
EXP000405,HH000405,2849,2164,963,3995
EXP000406,HH000406,2366,7994,2582,5198
EXP000407,HH000407,4202,4792,4291,2198
EXP000408,HH000408,10236,5592,4040,697
EXP000409,HH000409,2899,7174,3298,5548
EXP000410,HH000410,13921,1995,373,6498
EXP000411,HH000411,12043,2499,1949,2259
EXP000412,HH000412,7536,7136,906,1700
EXP000413,HH000413,6498,1798,4149,5753
EXP000414,HH000414,10310,828,229,1464
EXP000415,HH000415,12210,4214,1329,973
EXP000416,HH000416,6710,1535,192,5479
EXP000417,HH000417,12685,5315,2737,4565
EXP000418,HH000418,8715,5232,1590,1794
EXP000419,HH000419,7335,6511,3103,2826
EXP000420,HH000420,12614,2655,2044,602
EXP000421,HH000421,10817,3515,2544,6982
EXP000422,HH000422,5357,1994,1662,4352
EXP000423,HH000423,10957,4776,2721,2588
EXP000424,HH000424,13908,7120,3362,2360
EXP000425,HH000425,14764,2881,2570,6180
EXP000426,HH000426,3348,2376,434,2402
EXP000427,HH000427,10757,560,4400,1023
EXP000428,HH000428,14949,3217,2406,675
EXP000429,HH000429,7729,7391,3219,1997
EXP000430,HH000430,11677,2083,1884,1006
EXP000431,HH000431,12492,326,694,3720
EXP000432,HH000432,13978,7608,1482,5437
EXP000433,HH000433,3100,7587,2560,5355
EXP000434,HH000434,7081,3887,2751,1902
EXP000435,HH000435,2896,6209,2049,5503
EXP000436,HH000436,7508,657,2572,5927
EXP000437,HH000437,3260,2169,1065,542
EXP000438,HH000438,10408,4534,550,5486
EXP000439,HH000439,3766,4772,4155,3758
EXP000440,HH000440,4887,6836,3138,514
EXP000441,HH000441,5328,7638,4748,2448
EXP000442,HH000442,10760,4826,4071,3580
EXP000443,HH000443,14164,145,791,1665
EXP000444,HH000444,6366,4699,528,6075
EXP000445,HH000445,10834,7225,3352,5952
EXP000446,HH000446,8657,5640,2490,4260
EXP000447,HH000447,11185,4913,2509,3751
EXP000448,HH000448,10968,6806,3472,3444
EXP000449,HH000449,4000,4191,3850,5310
EXP000450,HH000450,13768,7464,4930,5725
EXP000451,HH000451,9085,1541,3629,5318
EXP000452,HH000452,10013,4711,3412,6858
EXP000453,HH000453,7628,3382,2181,1647
EXP000454,HH000454,10517,2384,922,2540
EXP000455,HH000455,14449,5366,1218,3464
EXP000456,HH000456,3954,3006,3685,3991
EXP000457,HH000457,2877,5936,4779,2506
EXP000458,HH000458,13611,1697,4111,2489
EXP000459,HH000459,3820,1386,1604,6605
EXP000460,HH000460,4959,5895,3238,5694
EXP000461,HH000461,5091,2109,3124,4770
EXP000462,HH000462,9440,4216,2384,3818
EXP000463,HH000463,3628,1437,2212,2502
EXP000464,HH000464,14722,2543,3274,6883
EXP000465,HH000465,13814,6977,4060,5164
EXP000466,HH000466,14699,7001,2174,4865
EXP000467,HH000467,11870,1639,62,3678
EXP000468,HH000468,2512,3940,3519,2706
EXP000469,HH000469,6193,964,4060,5421
EXP000470,HH000470,9674,2341,1007,1129
EXP000471,HH000471,7419,4003,166,2010
EXP000472,HH000472,2309,6163,734,4040
EXP000473,HH000473,2071,3452,2738,620
EXP000474,HH000474,12884,6973,1757,879
EXP000475,HH000475,3381,4780,153,5566
EXP000476,HH000476,4665,6477,4914,4592
EXP000477,HH000477,10120,1520,476,5220
EXP000478,HH000478,4285,3025,2522,605
EXP000479,HH000479,10235,2186,4914,5386
EXP000480,HH000480,13519,4497,2439,4191
EXP000481,HH000481,5375,6818,828,4690
EXP000482,HH000482,5125,7547,2663,1255
EXP000483,HH000483,12441,3975,2805,2336
EXP000484,HH000484,5482,4535,772,6855
EXP000485,HH000485,6844,6348,3750,6920
EXP000486,HH000486,14686,4402,3593,2651
EXP000487,HH000487,10630,824,2874,1664
EXP000488,HH000488,4990,2376,2896,5429
EXP000489,HH000489,13789,4755,1651,2964
EXP000490,HH000490,9546,5679,1903,3239
EXP000491,HH000491,5407,2758,1161,2514
EXP000492,HH000492,12192,654,2430,5133
EXP000493,HH000493,12762,5968,3039,4857
EXP000494,HH000494,4807,6718,3758,4878
EXP000495,HH000495,7781,4601,873,2829
EXP000496,HH000496,2064,5957,1321,1685
EXP000497,HH000497,5111,766,4844,5544
EXP000498,HH000498,6673,3000,2179,718
EXP000499,HH000499,3390,4860,233,2357
EXP000500,HH000500,14115,4413,174,4641
EXP000501,HH000501,3974,7464,4121,5719
EXP000502,HH000502,5637,4952,673,3986
EXP000503,HH000503,12960,1726,3477,3009
EXP000504,HH000504,5632,1012,2511,3773
EXP000505,HH000505,6906,4464,2056,1372
EXP000506,HH000506,6624,2302,1166,1053
EXP000507,HH000507,13842,5610,2855,6312
EXP000508,HH000508,12713,362,4270,5203
EXP000509,HH000509,5834,2452,4959,2740
EXP000510,HH000510,3660,1904,3902,5538
EXP000511,HH000511,2091,4605,2901,3116
EXP000512,HH000512,7979,3497,747,3014
EXP000513,HH000513,14308,2102,1428,1905
EXP000514,HH000514,5320,4043,2719,6039
EXP000515,HH000515,6616,4567,3628,5972
EXP000516,HH000516,12368,6030,903,3730
EXP000517,HH000517,14585,5907,3066,2321
EXP000518,HH000518,4777,2616,702,1856
EXP000519,HH000519,6400,7904,2282,1063
EXP000520,HH000520,13579,1233,562,3530
EXP000521,HH000521,7920,2039,1777,3960
EXP000522,HH000522,11756,2798,995,4758
EXP000523,HH000523,2197,1328,796,937
EXP000524,HH000524,13882,6595,4165,2215
EXP000525,HH000525,6506,4549,4734,2827
EXP000526,HH000526,9122,6793,4683,3039
EXP000527,HH000527,9866,372,1377,5483
EXP000528,HH000528,9524,5128,1289,6853
EXP000529,HH000529,12065,4262,2076,666
EXP000530,HH000530,2481,1945,2055,2759
EXP000531,HH000531,14569,2425,993,568
EXP000532,HH000532,9390,5006,2440,3659
EXP000533,HH000533,10423,5658,4798,2475
EXP000534,HH000534,13500,190,633,1189
EXP000535,HH000535,14747,4349,2494,4726
EXP000536,HH000536,2955,5538,3273,5526
EXP000537,HH000537,5749,1081,2840,4243
EXP000538,HH000538,11971,6728,898,4835
EXP000539,HH000539,6058,1658,2104,6438
EXP000540,HH000540,2945,3081,3400,1526
EXP000541,HH000541,13021,3683,1674,3831
EXP000542,HH000542,4660,4331,4499,5415
EXP000543,HH000543,2792,2552,4414,2800
EXP000544,HH000544,4396,7725,383,6505
EXP000545,HH000545,3029,3713,4272,5380
EXP000546,HH000546,14703,1317,882,695
EXP000547,HH000547,7838,1327,4681,537
EXP000548,HH000548,3900,6981,1978,4910
EXP000549,HH000549,4418,2300,4736,6723
EXP000550,HH000550,7518,853,3215,4982
EXP000551,HH000551,3276,5326,788,6870
EXP000552,HH000552,12532,6762,4338,6153
EXP000553,HH000553,5294,6468,3759,3783
EXP000554,HH000554,13607,1778,2878,2465
EXP000555,HH000555,5959,868,2443,4137
EXP000556,HH000556,5988,3699,2614,4491
EXP000557,HH000557,13995,5803,3581,6850
EXP000558,HH000558,8384,7691,1908,1293
EXP000559,HH000559,2123,7732,3152,6564
EXP000560,HH000560,10014,1150,1351,1918
EXP000561,HH000561,13784,7204,3452,6640
EXP000562,HH000562,2883,5420,4578,3839
EXP000563,HH000563,4912,5920,3299,1185
EXP000564,HH000564,6117,7245,2697,4976
EXP000565,HH000565,9706,4899,36,3745
EXP000566,HH000566,14246,3448,497,6701
EXP000567,HH000567,14024,4948,3740,3308
EXP000568,HH000568,13324,6481,1098,4391
EXP000569,HH000569,13343,258,2152,5254
EXP000570,HH000570,5185,2047,401,971
EXP000571,HH000571,13369,1077,1563,3268
EXP000572,HH000572,2556,2953,4627,5653
EXP000573,HH000573,9583,2287,943,3670
EXP000574,HH000574,6649,5452,2635,5547
EXP000575,HH000575,7744,541,4028,4813
EXP000576,HH000576,7156,2221,4448,2987
EXP000577,HH000577,5698,5728,3728,5812
EXP000578,HH000578,6199,1331,2162,969
EXP000579,HH000579,3311,277,762,5581
EXP000580,HH000580,3387,6358,4744,5516
EXP000581,HH000581,2026,2529,270,4258
EXP000582,HH000582,5615,4816,4120,5930
EXP000583,HH000583,5232,5178,2196,1055
EXP000584,HH000584,2796,2218,111,6938
EXP000585,HH000585,6788,6704,988,3037
EXP000586,HH000586,2983,4166,4966,2344
EXP000587,HH000587,6487,3329,3913,3967
EXP000588,HH000588,4198,6996,3511,3823
EXP000589,HH000589,14574,7738,383,6785
EXP000590,HH000590,4630,6699,4109,6108
EXP000591,HH000591,13519,4339,1372,4742
EXP000592,HH000592,5269,401,1430,4371
EXP000593,HH000593,10066,4019,4178,2031
EXP000594,HH000594,14506,4530,2029,3300
EXP000595,HH000595,6204,3711,3797,3955
EXP000596,HH000596,7296,4858,1497,3092
EXP000597,HH000597,7987,3271,538,2971
EXP000598,HH000598,13481,5701,3749,4156
EXP000599,HH000599,4112,2716,842,1427
EXP000600,HH000600,6011,3200,1853,4355
EXP000601,HH000601,10031,964,123,5350
EXP000602,HH000602,4572,3454,907,3790
EXP000603,HH000603,2548,3134,83,1761
EXP000604,HH000604,9394,4115,1751,4547
EXP000605,HH000605,3615,5135,1845,1356
EXP000606,HH000606,13249,3474,3175,5919
EXP000607,HH000607,8568,5890,3148,5143
EXP000608,HH000608,7165,642,359,3242
EXP000609,HH000609,6036,7511,3944,3909
EXP000610,HH000610,5508,1131,3392,2055
EXP000611,HH000611,11985,787,4747,1294
EXP000612,HH000612,4364,7255,4253,4275
EXP000613,HH000613,6748,145,608,6649
EXP000614,HH000614,10006,1260,3642,2218
EXP000615,HH000615,13739,3499,1732,5247
EXP000616,HH000616,4363,7815,4027,1877
