income_id,household_id,monthly_income,income_source
INC000094,HH000094,56396,Salary
INC000095,HH000095,80029,Salary
INC000096,HH000096,8370,Business
INC000097,HH000097,26950,Business
INC000098,HH000098,10169,Agriculture
INC000099,HH000099,57306,Salary
INC000100,HH000100,45489,Daily Wage
INC000101,HH000101,64949,Business
INC000102,HH000102,100020,Business
INC000103,HH000103,33587,Agriculture
INC000104,HH000104,102693,Business
INC000105,HH000105,20693,Daily Wage
INC000106,HH000106,66203,Daily Wage
INC000107,HH000107,89704,Business
INC000108,HH000108,9538,Daily Wage
INC000109,HH000109,117521,Salary
INC000110,HH000110,18274,Daily Wage
INC000111,HH000111,105514,Agriculture
INC000112,HH000112,54449,Business
INC000113,HH000113,101137,Salary
INC000114,HH000114,20450,Daily Wage
INC000115,HH000115,63841,Agriculture
INC000116,HH000116,43958,Salary
INC000117,HH000117,116043,Business
INC000118,HH000118,30868,Business
INC000119,HH000119,71049,Business
INC000120,HH000120,80968,Business
INC000121,HH000121,14489,Agriculture
INC000122,HH000122,87539,Salary
INC000123,HH000123,72065,Salary
INC000124,HH000124,106606,Daily Wage
INC000125,HH000125,39684,Salary
INC000126,HH000126,34678,Daily Wage
INC000127,HH000127,31813,Salary
INC000128,HH000128,82940,Business
INC000129,HH000129,44816,Business
INC000130,HH000130,64617,Agriculture
INC000131,HH000131,8020,Salary
INC000132,HH000132,87766,Salary
INC000133,HH000133,103576,Daily Wage
INC000134,HH000134,23434,Agriculture
INC000135,HH000135,40272,Business
INC000136,HH000136,86344,Daily Wage
INC000137,HH000137,94105,Salary
INC000138,HH000138,84433,Business
INC000139,HH000139,119124,Agriculture
INC000140,HH000140,53988,Salary
INC000141,HH000141,25973,Business
INC000142,HH000142,30164,Business
INC000143,HH000143,40973,Agriculture
INC000144,HH000144,26053,Agriculture
INC000145,HH000145,74440,Business
INC000146,HH000146,57205,Daily Wage
INC000147,HH000147,9614,Agriculture
INC000148,HH000148,119405,Salary
INC000149,HH000149,10258,Business
INC000150,HH000150,24097,Daily Wage
INC000151,HH000151,79734,Salary
INC000152,HH000152,41269,Salary
INC000153,HH000153,98172,Business
INC000154,HH000154,56106,Daily Wage
INC000155,HH000155,82989,Salary
INC000156,HH000156,28693,Salary
INC000157,HH000157,71224,Salary
INC000158,HH000158,62515,Business
INC000159,HH000159,28797,Agriculture
INC000160,HH000160,95759,Agriculture
INC000161,HH000161,77834,Agriculture
INC000162,HH000162,8897,Daily Wage
INC000163,HH000163,20214,Daily Wage
INC000164,HH000164,15688,Salary
INC000165,HH000165,28575,Salary
INC000166,HH000166,85415,Agriculture
INC000167,HH000167,96543,Salary
INC000168,HH000168,115316,Agriculture
INC000169,HH000169,25933,Salary
INC000170,HH000170,82089,Daily Wage
INC000171,HH000171,21835,Salary
INC000172,HH000172,73377,Business
INC000173,HH000173,70088,Daily Wage
INC000174,HH000174,9136,Business
INC000175,HH000175,38818,Business
INC000176,HH000176,88244,Salary
INC000177,HH000177,19454,Business
INC000178,HH000178,44870,Daily Wage
INC000179,HH000179,79466,Business
INC000180,HH000180,16333,Salary
INC000181,HH000181,75282,Agriculture
INC000182,HH000182,93623,Daily Wage
INC000183,HH000183,35251,Daily Wage
INC000184,HH000184,60549,Daily Wage
INC000185,HH000185,116943,Salary
INC000186,HH000186,66618,Salary
INC000187,HH000187,78112,Business
INC000188,HH000188,79645,Business
INC000189,HH000189,27594,Salary
INC000190,HH000190,9645,Salary
INC000191,HH000191,103810,Daily Wage
INC000192,HH000192,38121,Business
INC000193,HH000193,48743,Business
INC000194,HH000194,105308,Business
INC000195,HH000195,40232,Agriculture
INC000196,HH000196,77986,Agriculture
INC000197,HH000197,18430,Business
INC000198,HH000198,115811,Business
INC000199,HH000199,21775,Daily Wage
INC000200,HH000200,55539,Business
INC000201,HH000201,58975,Agriculture
INC000202,HH000202,81152,Salary
INC000203,HH000203,38851,Salary
INC000204,HH000204,43199,Daily Wage
INC000205,HH000205,89674,Daily Wage
INC000206,HH000206,23033,Daily Wage
INC000207,HH000207,37704,Agriculture
INC000208,HH000208,28995,Daily Wage
INC000209,HH000209,100981,Salary
INC000210,HH000210,116681,Business
INC000211,HH000211,70402,Agriculture
INC000212,HH000212,24431,Agriculture
INC000213,HH000213,26439,Business
INC000214,HH000214,54744,Daily Wage
INC000215,HH000215,81122,Agriculture
INC000216,HH000216,83763,Agriculture
INC000217,HH000217,104562,Business
INC000218,HH000218,66102,Salary
INC000219,HH000219,117795,Daily Wage
INC000220,HH000220,27030,Daily Wage
INC000221,HH000221,72772,Daily Wage
INC000222,HH000222,106290,Daily Wage
INC000223,HH000223,9466,Business
INC000224,HH000224,13027,Agriculture
INC000225,HH000225,50280,Agriculture
INC000226,HH000226,80754,Daily Wage
INC000227,HH000227,29133,Salary
INC000228,HH000228,102453,Business
INC000229,HH000229,46976,Agriculture
INC000230,HH000230,67273,Daily Wage
INC000231,HH000231,60091,Agriculture
INC000232,HH000232,35653,Salary
INC000233,HH000233,93386,Business
INC000234,HH000234,29616,Business
INC000235,HH000235,47170,Business
INC000236,HH000236,97289,Agriculture
INC000237,HH000237,59439,Agriculture
INC000238,HH000238,117575,Agriculture
INC000239,HH000239,79290,Daily Wage
INC000240,HH000240,112911,Agriculture
INC000241,HH000241,110853,Daily Wage
INC000242,HH000242,73084,Daily Wage
INC000243,HH000243,119296,Daily Wage
INC000244,HH000244,53701,Agriculture
INC000245,HH000245,28909,Salary
INC000246,HH000246,89827,Business
INC000247,HH000247,104494,Salary
INC000248,HH000248,9698,Daily Wage
INC000249,HH000249,62205,Daily Wage
INC000250,HH000250,44892,Agriculture
INC000251,HH000251,86443,Business
INC000252,HH000252,102353,Business
INC000253,HH000253,39690,Agriculture
INC000254,HH000254,72842,Salary
INC000255,HH000255,87745,Salary
INC000256,HH000256,103614,Daily Wage
INC000257,HH000257,81587,Salary
INC000258,HH000258,88844,Agriculture
INC000259,HH000259,75179,Salary
INC000260,HH000260,46814,Salary
INC000261,HH000261,11513,Salary
INC000262,HH000262,73832,Agriculture
INC000263,HH000263,35266,Daily Wage
INC000264,HH000264,9699,Salary
INC000265,HH000265,19885,Salary
INC000266,HH000266,16156,Business
INC000267,HH000267,94801,Daily Wage
INC000268,HH000268,38514,Agriculture
INC000269,HH000269,119712,Agriculture
INC000270,HH000270,88710,Business
INC000271,HH000271,64639,Daily Wage
INC000272,HH000272,105121,Business
INC000273,HH000273,37049,Daily Wage
INC000274,HH000274,55114,Agriculture
INC000275,HH000275,45540,Business
INC000276,HH000276,97059,Salary
INC000277,HH000277,49199,Agriculture
INC000278,HH000278,43253,Agriculture
INC000279,HH000279,117740,Business
INC000280,HH000280,84007,Agriculture
INC000281,HH000281,96459,Daily Wage
INC000282,HH000282,17959,Salary
INC000283,HH000283,29777,Daily Wage
INC000284,HH000284,95364,Business
INC000285,HH000285,113890,Daily Wage
INC000286,HH000286,109350,Salary
INC000287,HH000287,13372,Agriculture
INC000288,HH000288,90343,Daily Wage
INC000289,HH000289,31661,Agriculture
INC000290,HH000290,98177,Business
INC000291,HH000291,66978,Business
INC000292,HH000292,31625,Salary
INC000293,HH000293,16025,Salary
INC000294,HH000294,92581,Salary
INC000295,HH000295,24069,Salary
INC000296,HH000296,77619,Salary
INC000297,HH000297,74916,Daily Wage
INC000298,HH000298,112312,Daily Wage
INC000299,HH000299,31874,Agriculture
INC000300,HH000300,63433,Agriculture
INC000301,HH000301,118272,Business
INC000302,HH000302,73577,Daily Wage
INC000303,HH000303,25311,Agriculture
INC000304,HH000304,59957,Agriculture
INC000305,HH000305,104144,Daily Wage
INC000306,HH000306,54864,Daily Wage
INC000307,HH000307,20926,Business
INC000308,HH000308,84772,Agriculture
INC000309,HH000309,43269,Salary
INC000310,HH000310,11814,Daily Wage
INC000311,HH000311,97280,Salary
INC000312,HH000312,73493,Daily Wage
INC000313,HH000313,30881,Salary
INC000314,HH000314,76552,Business
INC000315,HH000315,113479,Business
INC000316,HH000316,106459,Business
INC000317,HH000317,27152,Business
INC000318,HH000318,29767,Business
INC000319,HH000319,71329,Daily Wage
INC000320,HH000320,72392,Salary
INC000321,HH000321,49998,Agriculture
INC000322,HH000322,96722,Business
INC000323,HH000323,47228,Daily Wage
INC000324,HH000324,90680,Daily Wage
INC000325,HH000325,115025,Daily Wage
INC000326,HH000326,62809,Daily Wage
INC000327,HH000327,112725,Agriculture
INC000328,HH000328,119723,Agriculture
INC000329,HH000329,108181,Salary
INC000330,HH000330,24483,Daily Wage
INC000331,HH000331,110606,Business
INC000332,HH000332,73489,Daily Wage
INC000333,HH000333,102194,Agriculture
INC000334,HH000334,21209,Agriculture
INC000335,HH000335,86428,Daily Wage
INC000336,HH000336,82792,Agriculture
INC000337,HH000337,11826,Salary
INC000338,HH000338,43648,Business
INC000339,HH000339,16704,Agriculture
INC000340,HH000340,111153,Business
INC000341,HH000341,40344,Salary
INC000342,HH000342,60651,Daily Wage
INC000343,HH000343,35159,Business
INC000344,HH000344,77552,Business
INC000345,HH000345,78813,Business
INC000346,HH000346,62116,Salary
INC000347,HH000347,20449,Salary
INC000348,HH000348,44545,Business
INC000349,HH000349,76542,Business
INC000350,HH000350,46486,Business
INC000351,HH000351,83480,Salary
INC000352,HH000352,19396,Business
INC000353,HH000353,95162,Daily Wage
INC000354,HH000354,20355,Agriculture
INC000355,HH000355,81528,Daily Wage
INC000356,HH000356,49698,Daily Wage
INC000357,HH000357,26883,Daily Wage
INC000358,HH000358,35805,Business
INC000359,HH000359,69024,Salary
INC000360,HH000360,24721,Agriculture
INC000361,HH000361,64061,Business
INC000362,HH000362,119253,Business
INC000363,HH000363,74715,Daily Wage
INC000364,HH000364,115485,Salary
INC000365,HH000365,105497,Daily Wage
INC000366,HH000366,84223,Business
INC000367,HH000367,32335,Daily Wage
INC000368,HH000368,93079,Salary
INC000369,HH000369,110167,Salary
INC000370,HH000370,81635,Daily Wage
INC000371,HH000371,84436,Agriculture
INC000372,HH000372,67280,Daily Wage
INC000373,HH000373,50207,Business
INC000374,HH000374,74682,Agriculture
INC000375,HH000375,27852,Business
INC000376,HH000376,55611,Agriculture
INC000377,HH000377,114297,Business
INC000378,HH000378,56115,Business
INC000379,HH000379,96869,Agriculture
INC000380,HH000380,107171,Salary
INC000381,HH000381,44520,Agriculture
INC000382,HH000382,80946,Agriculture
INC000383,HH000383,74948,Salary
INC000384,HH000384,100508,Business
INC000385,HH000385,21686,Salary
INC000386,HH000386,119152,Business
INC000387,HH000387,40265,Agriculture
INC000388,HH000388,70402,Daily Wage
INC000389,HH000389,10542,Business
INC000390,HH000390,53543,Agriculture
INC000391,HH000391,57944,Salary
INC000392,HH000392,90331,Agriculture
INC000393,HH000393,41237,Agriculture
INC000394,HH000394,91394,Daily Wage
INC000395,HH000395,69278,Business
INC000396,HH000396,22384,Daily Wage
INC000397,HH000397,61191,Salary
INC000398,HH000398,114980,Daily Wage
INC000399,HH000399,101850,Agriculture
INC000400,HH000400,67531,Daily Wage
INC000401,HH000401,77073,Salary
INC000402,HH000402,34936,Daily Wage
INC000403,HH000403,103569,Business
INC000404,HH000404,28037,Business
INC000405,HH000405,45720,Salary
INC000406,HH000406,62679,Agriculture
INC000407,HH000407,28504,Agriculture
INC000408,HH000408,22531,Business
INC000409,HH000409,119389,Daily Wage
INC000410,HH000410,60097,Salary
INC000411,HH000411,96177,Agriculture
INC000412,HH000412,18585,Business
INC000413,HH000413,14970,Business
INC000414,HH000414,104911,Salary
INC000415,HH000415,51069,Daily Wage
INC000416,HH000416,35308,Daily Wage
INC000417,HH000417,111901,Salary
INC000418,HH000418,70054,Business
INC000419,HH000419,81790,Daily Wage
INC000420,HH000420,52994,Business
INC000421,HH000421,23148,Business
INC000422,HH000422,58576,Daily Wage
INC000423,HH000423,109739,Daily Wage
INC000424,HH000424,38515,Salary
INC000425,HH000425,25223,Daily Wage
INC000426,HH000426,81075,Business
INC000427,HH000427,23179,Salary
INC000428,HH000428,104929,Salary
INC000429,HH000429,38753,Daily Wage
INC000430,HH000430,14567,Salary
INC000431,HH000431,110109,Daily Wage
INC000432,HH000432,81543,Business
INC000433,HH000433,95249,Salary
INC000434,HH000434,39632,Daily Wage
INC000435,HH000435,36396,Agriculture
INC000436,HH000436,72844,Agriculture
INC000437,HH000437,80355,Agriculture
INC000438,HH000438,28616,Daily Wage
INC000439,HH000439,86297,Daily Wage
INC000440,HH000440,26091,Daily Wage
INC000441,HH000441,26434,Business
INC000442,HH000442,90063,Salary
INC000443,HH000443,51168,Agriculture
INC000444,HH000444,109225,Salary
INC000445,HH000445,13217,Daily Wage
INC000446,HH000446,65396,Daily Wage
INC000447,HH000447,52542,Salary
INC000448,HH000448,96282,Daily Wage
INC000449,HH000449,31893,Daily Wage
INC000450,HH000450,45607,Salary
INC000451,HH000451,86974,Business
INC000452,HH000452,49843,Daily Wage
INC000453,HH000453,106298,Agriculture
INC000454,HH000454,100707,Salary
INC000455,HH000455,70711,Agriculture
INC000456,HH000456,102618,Business
INC000457,HH000457,72403,Daily Wage
INC000458,HH000458,103441,Daily Wage
INC000459,HH000459,97476,Salary
INC000460,HH000460,105204,Agriculture
INC000461,HH000461,41733,Agriculture
INC000462,HH000462,30204,Agriculture
INC000463,HH000463,64468,Salary
INC000464,HH000464,57122,Business
INC000465,HH000465,108380,Salary
INC000466,HH000466,31289,Daily Wage
INC000467,HH000467,12948,Salary
INC000468,HH000468,83208,Business
INC000469,HH000469,105907,Business
INC000470,HH000470,70693,Agriculture
INC000471,HH000471,81679,Business
INC000472,HH000472,31202,Salary
INC000473,HH000473,100970,Salary
INC000474,HH000474,87633,Business
INC000475,HH000475,91101,Business
INC000476,HH000476,104265,Business
INC000477,HH000477,23111,Salary
INC000478,HH000478,14417,Daily Wage
INC000479,HH000479,46195,Daily Wage
INC000480,HH000480,102682,Business
INC000481,HH000481,101969,Salary
INC000482,HH000482,42952,Agriculture
INC000483,HH000483,117399,Business
INC000484,HH000484,49548,Agriculture
INC000485,HH000485,26557,Agriculture
INC000486,HH000486,18151,Salary
INC000487,HH000487,65713,Agriculture
INC000488,HH000488,56777,Salary
INC000489,HH000489,62785,Agriculture
INC000490,HH000490,35737,Salary
INC000491,HH000491,44116,Business
INC000492,HH000492,119115,Agriculture
INC000493,HH000493,97624,Daily Wage
INC000494,HH000494,94038,Salary
INC000495,HH000495,45585,Agriculture
INC000496,HH000496,11654,Agriculture
INC000497,HH000497,38368,Daily Wage
INC000498,HH000498,13879,Daily Wage
INC000499,HH000499,26615,Business
INC000500,HH000500,50082,Daily Wage
INC000501,HH000501,103347,Business
INC000502,HH000502,70808,Salary
INC000503,HH000503,23684,Daily Wage
INC000504,HH000504,21703,Daily Wage
INC000505,HH000505,111813,Agriculture
INC000506,HH000506,13091,Business
INC000507,HH000507,8736,Daily Wage
INC000508,HH000508,48193,Salary
INC000509,HH000509,62130,Salary
INC000510,HH000510,34571,Agriculture
INC000511,HH000511,68291,Daily Wage
INC000512,HH000512,97507,Daily Wage
INC000513,HH000513,52825,Salary
INC000514,HH000514,16652,Business
INC000515,HH000515,88191,Daily Wage
INC000516,HH000516,69860,Business
INC000517,HH000517,60972,Agriculture
INC000518,HH000518,73253,Salary
INC000519,HH000519,99237,Salary
INC000520,HH000520,20091,Business
INC000521,HH000521,110097,Salary
INC000522,HH000522,97209,Daily Wage
INC000523,HH000523,45397,Daily Wage
INC000524,HH000524,62459,Salary
INC000525,HH000525,15124,Daily Wage
INC000526,HH000526,27769,Business
INC000527,HH000527,55076,Agriculture
INC000528,HH000528,84635,Agriculture
INC000529,HH000529,26798,Daily Wage
INC000530,HH000530,117659,Business
INC000531,HH000531,80148,Agriculture
INC000532,HH000532,82416,Salary
INC000533,HH000533,92052,Business
INC000534,HH000534,78710,Business
INC000535,HH000535,47373,Daily Wage
INC000536,HH000536,21462,Salary
INC000537,HH000537,12748,Agriculture
INC000538,HH000538,73407,Salary
INC000539,HH000539,40702,Salary
INC000540,HH000540,40111,Business
INC000541,HH000541,51517,Salary
INC000542,HH000542,54104,Salary
INC000543,HH000543,110584,Salary
INC000544,HH000544,66656,Salary
INC000545,HH000545,34179,Salary
INC000546,HH000546,53446,Business
INC000547,HH000547,85192,Agriculture
INC000548,HH000548,57513,Business
INC000549,HH000549,40651,Business
INC000550,HH000550,12301,Daily Wage
INC000551,HH000551,98180,Business
INC000552,HH000552,81003,Agriculture
INC000553,HH000553,23743,Business
INC000554,HH000554,87722,Business
INC000555,HH000555,108722,Agriculture
INC000556,HH000556,59007,Daily Wage
INC000557,HH000557,82191,Daily Wage
INC000558,HH000558,26486,Agriculture
INC000559,HH000559,45437,Business
INC000560,HH000560,41298,Business
INC000561,HH000561,31408,Agriculture
INC000562,HH000562,56407,Daily Wage
INC000563,HH000563,43908,Daily Wage
INC000564,HH000564,113269,Daily Wage
INC000565,HH000565,48216,Salary
INC000566,HH000566,86196,Agriculture
INC000567,HH000567,87059,Salary
INC000568,HH000568,76941,Daily Wage
INC000569,HH000569,75690,Daily Wage
INC000570,HH000570,71881,Agriculture
INC000571,HH000571,98487,Agriculture
INC000572,HH000572,102030,Daily Wage
INC000573,HH000573,70674,Business
INC000574,HH000574,94878,Agriculture
INC000575,HH000575,81184,Salary
INC000576,HH000576,19939,Agriculture
INC000577,HH000577,73451,Agriculture
INC000578,HH000578,89682,Daily Wage
INC000579,HH000579,58613,Agriculture
INC000580,HH000580,45366,Agriculture
INC000581,HH000581,89651,Business
INC000582,HH000582,15847,Salary
INC000583,HH000583,13282,Business
INC000584,HH000584,95129,Daily Wage
INC000585,HH000585,56221,Business
INC000586,HH000586,17851,Daily Wage
INC000587,HH000587,115552,Agriculture
INC000588,HH000588,107240,Daily Wage
INC000589,HH000589,102160,Agriculture
INC000590,HH000590,17905,Daily Wage
INC000591,HH000591,72077,Daily Wage
INC000592,HH000592,116295,Business
INC000593,HH000593,28196,Agriculture
INC000594,HH000594,63914,Agriculture
INC000595,HH000595,31012,Salary
INC000596,HH000596,65558,Salary
INC000597,HH000597,57765,Salary
INC000598,HH000598,90773,Business
INC000599,HH000599,18825,Agriculture
INC000600,HH000600,45464,Business
INC000601,HH000601,101492,Agriculture
INC000602,HH000602,29269,Business
INC000603,HH000603,40209,Daily Wage
INC000604,HH000604,86793,Agriculture
INC000605,HH000605,55230,Salary
INC000606,HH000606,23840,Daily Wage
INC000607,HH000607,27687,Daily Wage
INC000608,HH000608,78331,Daily Wage
INC000609,HH000609,18806,Salary
INC000610,HH000610,19329,Daily Wage
INC000611,HH000611,111177,Salary
INC000612,HH000612,57169,Business
INC000613,HH000613,80687,Business
INC000614,HH000614,66035,Agriculture
INC000615,HH000615,107990,Agriculture
INC000616,HH000616,83071,Business
INC000617,HH000617,19339,Daily Wage
INC000618,HH000618,26605,Salary
INC000619,HH000619,10349,Salary
INC000620,HH000620,117045,Salary
INC000621,HH000621,93498,Agriculture
INC000622,HH000622,39120,Salary
INC000623,HH000623,110434,Agriculture
INC000624,HH000624,33538,Business
INC000625,HH000625,97798,Business
INC000626,HH000626,55869,Salary
INC000627,HH000627,111364,Business
INC000628,HH000628,84847,Business
INC000629,HH000629,100049,Daily Wage
INC000630,HH000630,91476,Business
INC000631,HH000631,49255,Business
INC000632,HH000632,17388,Daily Wage
INC000633,HH000633,68980,Daily Wage
INC000634,HH000634,106851,Business
INC000635,HH000635,45600,Salary
INC000636,HH000636,92269,Salary
INC000637,HH000637,109565,Salary
INC000638,HH000638,45173,Salary
INC000639,HH000639,100299,Salary
INC000640,HH000640,33628,Agriculture
INC000641,HH000641,60959,Business
INC000642,HH000642,110611,Salary
INC000643,HH000643,55268,Daily Wage
INC000644,HH000644,53033,Salary
INC000645,HH000645,53177,Daily Wage
INC000646,HH000646,112295,Daily Wage
INC000647,HH000647,105564,Business
INC000648,HH000648,19253,Business
INC000649,HH000649,17760,Daily Wage
INC000650,HH000650,24699,Salary
INC000651,HH000651,60255,Daily Wage
INC000652,HH000652,111614,Salary
INC000653,HH000653,105824,Daily Wage
INC000654,HH000654,103683,Agriculture
INC000655,HH000655,34718,Business
INC000656,HH000656,17736,Daily Wage
INC000657,HH000657,59452,Daily Wage
INC000658,HH000658,17017,Agriculture
INC000659,HH000659,30524,Salary
INC000660,HH000660,36248,Daily Wage
INC000661,HH000661,86359,Business
INC000662,HH000662,104240,Agriculture
INC000663,HH000663,20473,Salary
INC000664,HH000664,64809,Agriculture
INC000665,HH000665,55324,Business
INC000666,HH000666,31743,Salary
INC000667,HH000667,80713,Business
INC000668,HH000668,71263,Business
INC000669,HH000669,34253,Daily Wage
INC000670,HH000670,20675,Business
INC000671,HH000671,37233,Business
INC000672,HH000672,50224,Agriculture
INC000673,HH000673,99792,Daily Wage
INC000674,HH000674,81486,Agriculture
INC000675,HH000675,36069,Agriculture
INC000676,HH000676,50185,Agriculture
INC000677,HH000677,60981,Agriculture
INC000678,HH000678,11693,Salary
INC000679,HH000679,71490,Daily Wage
INC000680,HH000680,11038,Daily Wage
INC000681,HH000681,36197,Salary
INC000682,HH000682,17524,Salary
INC000683,HH000683,19768,Salary
INC000684,HH000684,95007,Agriculture
INC000685,HH000685,78002,Agriculture
INC000686,HH000686,54203,Daily Wage
INC000687,HH000687,38709,Agriculture
INC000688,HH000688,43291,Daily Wage
INC000689,HH000689,55012,Agriculture
INC000690,HH000690,116961,Business
INC000691,HH000691,17330,Agriculture
INC000692,HH000692,88838,Business
INC000693,HH000693,11040,Daily Wage
INC000694,HH000694,80354,Salary
INC000695,HH000695,58015,Daily Wage
INC000696,HH000696,94063,Agriculture
INC000697,HH000697,64951,Daily Wage
INC000698,HH000698,22829,Agriculture
INC000699,HH000699,113716,Daily Wage
INC000700,HH000700,16376,Agriculture
INC000701,HH000701,69768,Agriculture
INC000702,HH000702,70724,Salary
INC000703,HH000703,13161,Agriculture
INC000704,HH000704,39153,Business
INC000705,HH000705,77884,Daily Wage
INC000706,HH000706,101242,Daily Wage
INC000707,HH000707,50502,Agriculture
INC000708,HH000708,38770,Salary
INC000709,HH000709,55453,Salary
INC000710,HH000710,29828,Business
INC000711,HH000711,110921,Daily Wage
INC000712,HH000712,72885,Salary
INC000713,HH000713,105115,Daily Wage
INC000714,HH000714,68856,Business
INC000715,HH000715,30018,Business
INC000716,HH000716,49092,Salary
INC000717,HH000717,14904,Daily Wage
INC000718,HH000718,119790,Salary
INC000719,HH000719,86486,Daily Wage
INC000720,HH000720,61321,Daily Wage
INC000721,HH000721,118871,Salary
INC000722,HH000722,97600,Daily Wage
INC000723,HH000723,113510,Business
INC000724,HH000724,103071,Agriculture
INC000725,HH000725,20929,Agriculture
INC000726,HH000726,21096,Business
INC000727,HH000727,18959,Salary
INC000728,HH000728,79036,Daily Wage
INC000729,HH000729,13645,Agriculture
INC000730,HH000730,19517,Business
INC000731,HH000731,104228,Daily Wage
INC000732,HH000732,26838,Salary
INC000733,HH000733,74648,Daily Wage
INC000734,HH000734,118284,Agriculture
INC000735,HH000735,26639,Daily Wage
INC000736,HH000736,50543,Business
INC000737,HH000737,94377,Business
INC000738,HH000738,25036,Daily Wage
INC000739,HH000739,116215,Agriculture
INC000740,HH000740,91506,Daily Wage
INC000741,HH000741,96265,Business
INC000742,HH000742,25999,Salary
INC000743,HH000743,20717,Daily Wage
INC000744,HH000744,58819,Salary
INC000745,HH000745,103238,Agriculture
INC000746,HH000746,96944,Agriculture
INC000747,HH000747,71951,Agriculture
INC000748,HH000748,23372,Daily Wage
INC000749,HH000749,95811,Daily Wage
INC000750,HH000750,37558,Business
INC000751,HH000751,62328,Business
INC000752,HH000752,92477,Salary
INC000753,HH000753,34634,Daily Wage
INC000754,HH000754,117507,Business
INC000755,HH000755,114632,Daily Wage
INC000756,HH000756,44308,Daily Wage
INC000757,HH000757,99796,Daily Wage
INC000758,HH000758,113834,Salary
INC000759,HH000759,77091,Daily Wage
INC000760,HH000760,24522,Daily Wage
INC000761,HH000761,111454,Daily Wage
INC000762,HH000762,42777,Daily Wage
INC000763,HH000763,115838,Agriculture
INC000764,HH000764,15993,Daily Wage
INC000765,HH000765,82594,Daily Wage
INC000766,HH000766,116870,Agriculture
INC000767,HH000767,98610,Salary
INC000768,HH000768,10530,Agriculture
INC000769,HH000769,102731,Salary
INC000770,HH000770,114784,Business
INC000771,HH000771,58567,Agriculture
INC000772,HH000772,53651,Daily Wage
INC000773,HH000773,33110,Daily Wage
INC000774,HH000774,45394,Salary
INC000775,HH000775,108594,Daily Wage
INC000776,HH000776,15841,Salary
